sentences,aspects,labels
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Kamala Harris,1
"Advertisement

With roughly 30 days left before Election Day, Vice President Kamala Harris and her allies are amplifying their focus on the January 6, 2021, Capitol riot and former President Donald Trump's efforts to overturn the 2020 election.",Kamala Harris,2
"Trump, for his part, has really never stopped talking about the 2020 election.",Kamala Harris,0
He brings it up at almost every rally.,Kamala Harris,0
But Harris' final rebuttal is shaping up in the form of a closing argument delivered by former Congresswoman Liz Cheney and top Trump aides.,Kamala Harris,2
"""Our republic faces a threat unlike any we have faced before — a former president who attempted to stay in power by unraveling the foundations of our republic, by refusing to accept the lawful results confirmed by dozens of courts of the 2020 election,"" Cheney said Thursday night in Ripon, Wisconsin, the birthplace of the Republican Party.",Kamala Harris,0
"The Harris campaign's efforts to remind voters of Trump's final days in office will get a boost next week when an outside group will host Cassidy Hutchinson, the former Trump aide whose searing testimony was at the forefront of the House January 6 committee, Cheney, and two other former Trump aides at an event in Pennsylvania.",Kamala Harris,2
"While that is not an official Harris rally, her campaign has already made waves in the key battleground by airing an ad featuring a local couple who previously supported Trump.",Kamala Harris,2
"Advertisement

""I voted for him twice, I won't vote for him again,"" Bob Lange says in the ad entitled ""Not Again.""",Kamala Harris,0
"""January 6 was a wake-up call for me.""",Kamala Harris,2
"I have sworn an oath to uphold the Constitution six times in my career, and have always upheld it without reservation.",Kamala Harris,2
Therein lies the profound difference between Donald Trump and me.,Kamala Harris,2
"He violated that oath, and, make no mistake: if given the chance, he would violate it again.",Kamala Harris,0
"pic.twitter.com/mcgmR3q0SU — Kamala Harris (@KamalaHarris) October 4, 2024

Former Trump 2020 staffer Matt Wolking said the Harris' campaign focus on January 6 illustrates a return to the core of what made Biden's campaign struggle.",Kamala Harris,0
"Related stories

""What happens when you run a vibes campaign like Kamala has, devoid of most other substance and then you run out of vibes?""",Kamala Harris,0
Wolking told Business Insider.,Kamala Harris,1
"""Well, you return to old crutches, and this is an old crutch that is leftover from the Biden campaign.",Kamala Harris,0
"The January 6 campaign strategy is the Biden campaign strategy from earlier this year.""",Kamala Harris,1
"Voters have given Harris better marks than Biden, but the topic still does not have the sheer weight that the economy does.",Kamala Harris,1
"Advertisement

The economy is still the most important issue in the race.",Kamala Harris,1
"Voters have long said the economy is the most important issue in the race, lending some slight risk to focusing on the 2020 election.",Kamala Harris,1
Polls have shown that Harris has closed Trump's commanding lead on the economy.,Kamala Harris,2
But the broader theme of democracy hasn't been forgotten.,Kamala Harris,1
A recent PBS News/NPR/Marist poll found that 95% of voters say the economy is a factor in their vote.,Kamala Harris,1
"The same survey found that 89% of voters would say the same about ""preserving democracy,"" including 64% who say it would be a ""deciding factor"" in their decision.",Kamala Harris,1
"(The poll of US adults was conducted from September 27 through October 1, 2024.",Kamala Harris,1
"Marist interviewed 1,628 adults via phone, text, and online.",Kamala Harris,1
The margin of error for registered voters is +/- 3.5 percentage points.),Kamala Harris,1
Trump's campaign blamed the media for the renewed focus on January 6.,Kamala Harris,0
"""The media is desperate to talk about anything other than the issues Americans are facing today — from the ongoing conflict in the Middle East, to the crisis at our border, migrant crime, inflation, and the ongoing port worker strike — because the problems of today prove Kamala Harris is the worst vice president in history,"" Trump campaign spokesperson Karoline Leavitt said in a statement issued on Thursday.",Kamala Harris,0
"On Thursday night, port workers and the United States Maritime Alliance announced the suspension of the strike until January 15 as contract negotiations continue.",Kamala Harris,1
"Advertisement

Both campaigns have tried to lean into democracy-related appeals.",Kamala Harris,1
"Trump has claimed that it's the Democrats who are the true threat, arguing without evidence that they are responsible for his assassination attempts.",Kamala Harris,0
"He also repeatedly claimed that the White House is orchestrating the criminal cases against him, another claim that doesn't hold up.",Kamala Harris,0
There's ample evidence that Trump should be concerned if voters cast their ballots with 2020 in mind.,Kamala Harris,1
Voters thoroughly rejected his allies who echoed his concerns about 2020 during the midterm elections two years later.,Kamala Harris,2
"Most notably, those setbacks occurred in Michigan, Wisconsin, Pennsylvania, and Arizona, all four states that remain battlegrounds in the presidential race.",Kamala Harris,1
"According to a recent Washington Post poll, most of the voters in Pennsylvania, widely believed to be race's biggest prize, believe Biden won the 2020 race fair and square.",Kamala Harris,2
"The numbers are different for Republicans, but the rejection of election denialism is clear among Democrats and, most critically, independents.",Kamala Harris,1
"Harris' efforts aren't the only reason 2020 is back in the news

Special counsel Jack Smith's 165-page filing was released earlier in the week, providing new details about Trump's actions as rioters stormed the Capitol.",Kamala Harris,1
"Smith's team says it is prepared to call a top Trump aide to testify that only the then-president himself could have sent out his infamous tweet attacking Vice President Mike Pence for lacking ""courage"" by refusing to help overturn the results.",Kamala Harris,0
"Advertisement

""The defendant personally posted the tweet on the afternoon of January 6 at a point when he already understood that the Capitol had been breached,"" Smith's team wrote in the filing.",Kamala Harris,0
Sen. JD Vance of Ohio refused to answer directly to Gov.,Kamala Harris,1
Tim Walz during Tuesday's vice-presidential debate when he pressed Trump's running mate about who won the 2020 election.,Kamala Harris,1
"""Tim, I am focused on the future,"" Vance replied.",Kamala Harris,1
"""Did Kamala Harris censor Americans from speaking their mind in the wake of the 2020 COVID situation?""",Kamala Harris,0
"Harris' campaign soon cut what Walz described as Vance's ""damning non-answer"" into an attack ad.",Kamala Harris,2
"Advertisement

Asked again about his views on the 2020 election, Vance remained defiant after a Friday rally.",Kamala Harris,0
"The GOP vice presidential nominee accused journalists of being so interested in the last election because ""they don't care a lick about what happened afterwards.""",Kamala Harris,1
"""I'm from Ohio, I am not from the South, but I think there's a phrase that really works — bless your heart,"" he said.",Kamala Harris,1
"""We are focused on the future in this election and in this campaign.""",Kamala Harris,2
Elon Musk joined Donald Trump onstage during a rally in Pennsylvania.,Donald Trump,2
"Musk said that voter turnout in support of Trump is paramount, or ""this will be the last election.""",Donald Trump,0
The event took place at the same location where a gunman nearly assassinated Trump in July.,Donald Trump,0
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Donald Trump,1
Read preview Thanks for signing up!,Donald Trump,1
Go to newsletter preferences Thanks for signing up!,Donald Trump,1
Access your favorite topics in a personalized feed while you're on the go.,Donald Trump,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Donald Trump,1
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Donald Trump,1
"Advertisement

Donald Trump has a new headliner: Elon Musk.",Donald Trump,2
"The billionaire owner of some of the world's most prominent companies spoke at the former president's high-profile rally in Butler, Pennsylvania — the same place Trump was nearly assassinated in July.",Donald Trump,0
"Taking the stage alongside Trump, Musk leaped into the air several times and pumped his fist while wearing an all-black ""Make America Great Again"" hat and his signature ""Occupy Mars"" shirt.",Donald Trump,2
"""As you can see, I'm not just MAGA — I'm dark MAGA,"" Musk quipped.",Donald Trump,1
"Advertisement

He then compared Trump with President Joe Biden, saying that Biden ""couldn't climb a flight of stairs"" while Trump ""was fist pumping after getting shot,"" referring to the July assassination attempt that left the former president wounded in the ear.",Donald Trump,2
"""So who do you want representing America?""",Donald Trump,1
"Musk asked, garnering applause and chants of Trump's name.",Donald Trump,2
"In his brief appearance, Musk warned that voter turnout supporting the former president is paramount this year, or ""this will be the last election.""",Donald Trump,1
"He said ""the other side"" wants to take away freedom of speech, take away the right to bear arms, and ""take away your right to vote, effectively.""",Donald Trump,0
"""President Trump must win to preserve the Constitution,"" Musk said during his remarks.",Donald Trump,2
"""He must win to preserve democracy in America.""",Donald Trump,2
"Advertisement

Musk and representatives for the Trump campaign did not immediately respond to requests for comment from Business Insider.",Donald Trump,1
"In a press release from the Trump campaign released before the event, Musk was listed as an attendee just after Trump's immediate family but before his running mate, JD Vance, in an apparent nod to how important the campaign views Musk's presence at the event.",Donald Trump,1
"Related stories

The rally took place at the same location, the Butler Farm Show Grounds, where on July 13, a gunman managed to graze Trump in the ear in what was easily the most dramatic moment of a historic presidential campaign season.",Donald Trump,1
"Immediately after the shooting, Musk officially endorsed Trump.",Donald Trump,2
"He has been a vocal supporter since, mostly through posts on X, applauding the former president and critiquing his Democratic opponent, Vice President Kamala Harris, on a nearly daily basis.",Donald Trump,2
"Advertisement

Musk attended a White House meeting with other business leaders early in Trump's presidency.",Donald Trump,1
"The Washington Post

But Musk and Trump haven't always been so chummy.",Donald Trump,0
"In 2015, Musk said it would be ""a bit embarrassing"" if Trump secured the Republican presidential nomination.",Donald Trump,0
"And in 2016, he said Trump was ""not the right guy"" for the presidency.",Donald Trump,0
"As president-elect in late 2016, Trump announced Musk would join his economic advisory board, but Musk would later cut ties with the administration over disagreements on climate change policies.",Donald Trump,0
"The two found some common ground in 2020 while opposing COVID-19 regulations, but their feud intensified in July of 2022.",Donald Trump,0
"At a Trump rally, Trump called Musk a ""bullshit artist,"" after which Musk suggested Trump should not run for president again.",Donald Trump,0
"Trump retaliated, saying Musk would be ""worthless"" without government subsidies and that Trump previously could have made Musk beg on his knees for government support.",Donald Trump,0
"Despite their on-again-off-again relationship, Musk has been fairly consistent in supporting Republican causes.",Donald Trump,2
"Musk donated millions to conservative campaigns over the years, including at least $10 million to Florida Gov.",Donald Trump,1
"Ron DeSantis, who competed against Trump for the GOP nomination.",Donald Trump,1
"Musk endorsed DeSantis and interviewed him live on X as he launched his campaign, though the launch was riddled with glitches and mocked by Trump ruthlessly.",Donald Trump,0
The relationship between the two has now completely changed.,Donald Trump,1
Musk is now one of the president's most prominent supporters.,Donald Trump,2
"Musk has funded a pro-Trump super PAC, which has donated millions to Republican races and launched ads touting Trump as the only option to ""save America.""",Donald Trump,2
"Advertisement

And in August, Trump said he would offer Musk a cabinet position, calling him a ""brilliant guy.""",Donald Trump,2
"Musk said he'd accept in a post on X, imagining himself in charge of ""government efficiency.""",Donald Trump,2
Elon Musk joined Donald Trump onstage during a rally in Pennsylvania.,Kamala Harris,1
"Musk said that voter turnout in support of Trump is paramount, or ""this will be the last election.""",Kamala Harris,1
The event took place at the same location where a gunman nearly assassinated Trump in July.,Kamala Harris,0
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Kamala Harris,1
Read preview Thanks for signing up!,Kamala Harris,1
Go to newsletter preferences Thanks for signing up!,Kamala Harris,1
Access your favorite topics in a personalized feed while you're on the go.,Kamala Harris,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Kamala Harris,1
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Kamala Harris,1
"Advertisement

Donald Trump has a new headliner: Elon Musk.",Kamala Harris,1
"The billionaire owner of some of the world's most prominent companies spoke at the former president's high-profile rally in Butler, Pennsylvania — the same place Trump was nearly assassinated in July.",Kamala Harris,1
"Taking the stage alongside Trump, Musk leaped into the air several times and pumped his fist while wearing an all-black ""Make America Great Again"" hat and his signature ""Occupy Mars"" shirt.",Kamala Harris,2
"""As you can see, I'm not just MAGA — I'm dark MAGA,"" Musk quipped.",Kamala Harris,1
"Advertisement

He then compared Trump with President Joe Biden, saying that Biden ""couldn't climb a flight of stairs"" while Trump ""was fist pumping after getting shot,"" referring to the July assassination attempt that left the former president wounded in the ear.",Kamala Harris,2
"""So who do you want representing America?""",Kamala Harris,1
"Musk asked, garnering applause and chants of Trump's name.",Kamala Harris,2
"In his brief appearance, Musk warned that voter turnout supporting the former president is paramount this year, or ""this will be the last election.""",Kamala Harris,1
"He said ""the other side"" wants to take away freedom of speech, take away the right to bear arms, and ""take away your right to vote, effectively.""",Kamala Harris,0
"""President Trump must win to preserve the Constitution,"" Musk said during his remarks.",Kamala Harris,2
"""He must win to preserve democracy in America.""",Kamala Harris,2
"Advertisement

Musk and representatives for the Trump campaign did not immediately respond to requests for comment from Business Insider.",Kamala Harris,1
"In a press release from the Trump campaign released before the event, Musk was listed as an attendee just after Trump's immediate family but before his running mate, JD Vance, in an apparent nod to how important the campaign views Musk's presence at the event.",Kamala Harris,2
"Related stories

The rally took place at the same location, the Butler Farm Show Grounds, where on July 13, a gunman managed to graze Trump in the ear in what was easily the most dramatic moment of a historic presidential campaign season.",Kamala Harris,0
"Immediately after the shooting, Musk officially endorsed Trump.",Kamala Harris,2
"He has been a vocal supporter since, mostly through posts on X, applauding the former president and critiquing his Democratic opponent, Vice President Kamala Harris, on a nearly daily basis.",Kamala Harris,0
"Advertisement

Musk attended a White House meeting with other business leaders early in Trump's presidency.",Kamala Harris,1
"The Washington Post

But Musk and Trump haven't always been so chummy.",Kamala Harris,1
"In 2015, Musk said it would be ""a bit embarrassing"" if Trump secured the Republican presidential nomination.",Kamala Harris,0
"And in 2016, he said Trump was ""not the right guy"" for the presidency.",Kamala Harris,0
"As president-elect in late 2016, Trump announced Musk would join his economic advisory board, but Musk would later cut ties with the administration over disagreements on climate change policies.",Kamala Harris,1
"The two found some common ground in 2020 while opposing COVID-19 regulations, but their feud intensified in July of 2022.",Kamala Harris,0
"At a Trump rally, Trump called Musk a ""bullshit artist,"" after which Musk suggested Trump should not run for president again.",Kamala Harris,0
"Trump retaliated, saying Musk would be ""worthless"" without government subsidies and that Trump previously could have made Musk beg on his knees for government support.",Kamala Harris,0
"Despite their on-again-off-again relationship, Musk has been fairly consistent in supporting Republican causes.",Kamala Harris,2
"Musk donated millions to conservative campaigns over the years, including at least $10 million to Florida Gov.",Kamala Harris,2
"Ron DeSantis, who competed against Trump for the GOP nomination.",Kamala Harris,1
"Musk endorsed DeSantis and interviewed him live on X as he launched his campaign, though the launch was riddled with glitches and mocked by Trump ruthlessly.",Kamala Harris,1
The relationship between the two has now completely changed.,Kamala Harris,1
Musk is now one of the president's most prominent supporters.,Kamala Harris,2
"Musk has funded a pro-Trump super PAC, which has donated millions to Republican races and launched ads touting Trump as the only option to ""save America.""",Kamala Harris,2
"Advertisement

And in August, Trump said he would offer Musk a cabinet position, calling him a ""brilliant guy.""",Kamala Harris,2
"Musk said he'd accept in a post on X, imagining himself in charge of ""government efficiency.""",Kamala Harris,2
The conflict in the Middle East is a top issue for voters this election cycle.,Donald Trump,1
"As the conflict in the Middle East escalates, Vice President Kamala Harris and former President Donald Trump are both taking a break from campaigning in battleground states on Monday to memorialize the anniversary of the Oct. 7 Hamas attacks on Israel.",Donald Trump,1
"Harris, alongside second gentleman Doug Emhoff, marked the day by planting a pomegranate tree at the vice president's residence -- a symbol of hope and righteousness in Judaism.",Donald Trump,1
"Trump visited Ohel Chabad-Lubavitch -- considered a sacred site amongst Hasidic Jews -- in Queens, New York, where he had an intimate private visit to the Ohel, the gravesite of the Rebbe at the Old Montefiore Cemetery, where he was seen shaking hands with Rabbis and mingling with leaders.",Donald Trump,2
Trump later spoke at a remembrance event with Jewish community leaders at his Trump National Doral Miami property golf resort.,Donald Trump,2
"People look at a memorial for victims of the bloody Oct. 7 cross-border attack by Hamas militants on the one-year anniversary of the attack, in Tel Aviv, Israel, Oct. 7, 2024.",Donald Trump,1
"Oded Balilty/AP

On Monday, Harris urged the country that as they reflect on the horrors of Oct. 7, they also be reminded ""we cannot lose faith.""",Donald Trump,1
"""I will never forget October 7, and the world must never forget.",Donald Trump,1
What is asked of us?,Donald Trump,1
"We must work to ensure nothing like the horrors of Oct. 7 can ever happen again, and on this solemn day, I will restate my pledge to always ensure that Israel has what it needs to defend itself, and that I will always work to ensure the safety and security of the Jewish people here and around the world,"" Harris pledged.",Donald Trump,1
"Republican presidential nominee former President Donald Trump poses for photos with family members of Edan Alexander, a hostage held by Hamas, after visiting the gravesite of Rabbi Menachem Mendel Schneerson, Oct. 7, 2024, in New York.",Donald Trump,2
"Yuki Iwamura/AP

Democratic presidential nominee and Vice President Kamala Harris and Second Gentleman Doug Emhoff plant a tree to mark the one year anniversary of the Oct. 7 Hamas attacks on Israel, at the Vice President's residence at the Naval Observatory in Washington, D.C., Oct. 7, 2024.",Donald Trump,1
"Nathan Howard/Reuters

To commemorate Oct. 7, Harris' running mate, Gov.",Donald Trump,1
"Tim Walz visited the ""Nova Exhibition"" -- an exhibit honoring the victims of the Hamas attack -- in Culver City, California, on Monday.",Donald Trump,1
"Walz was greeted by Noa Beer, a survivor of the Oct. 7 attack and an organizer of the Nova Music Festival, and the exhibition's event producer Virginia Fout upon his arrival at the exhibition, according to the Harris campaign.",Donald Trump,1
